COMPETITION,HOME,AWAY,SPOILER,REAL RESULT
SERIE A,Como 1907,AC Milan,1-4,1-2
PREMIER LEAGUE,Chelsea,Bournemouth,2-1,2-2
SERIE A,Atalanta,Juventus,0-0,1-1
PREMIER LEAGUE,Nottingham Forrest,Liverpool,2-1,1-1
SERIE A,Inter Milan,Bologna ,1-1,2-2
PREMIER LEAGUE,Arsenal ,Tottenham,2-1,2-1
PREMIER LEAGUE,Manchester United ,Southampton,2-0,3-1
PREMIER LEAGUE,Brentford ,Liverpool,2-2,0-2
SERIE A,Juventus,AC Milan,2-0,2-0
PREMIER LEAGUE,Arsenal ,Aston Villa,3-1,2-2
SERIE A,Atalanta,Napoli ,1-0,2-3
LA LIGA,Getafe ,Barcelona,0-2,1-1
PREMIER LEAGUE,Manchester United ,Brighton,0-2,1-3
PREMIER LEAGUE,Everton ,Tottenham,2-1,3-0
PREMIER LEAGUE,Ipswich,Manchester City,1-3,0-6
LA LIGA,Real Madrid ,Las Palmas,2-0,4-1
SERIE A,Inter Milan,Empoli ,2-1,3-1
PREMIER LEAGUE,Chelsea,Wolves ,2-2,3-1
UCL ,Monaco ,Aston Villa,3-1,1-0
UCL ,Atletico Madrid ,Leverkusen,1-1,2-1
UCL ,Benfica ,Barcelona ,1-3,4-5
UCL ,Bologna ,Dortmund ,2-0,2-1
UCL ,Bruge,Juventus,1-1,0-0
UCL ,Red Star,PSV,2-1,2-3
UCL ,Liverpool,Lille ,3-1,2-1
UCL ,Slovan Bratislava ,Stutgard ,0-3,1-3
UCL ,Milan ,Girona,3-1,1-0
UCL ,Arsenal ,Dinamo Zagreb,2-0,3-0
UCL ,Celtic,Youngboys,2-0,1-0
UCL ,Feyenoord,Bayern Munich,1-2,3-0
UCL ,PSG,Manchester City,1-1,4-2
UCL ,Real Madrid ,Salzburg,3-1,5-1
UCL ,Sparta Prague ,Inter Milan,0-4,0-1
PREMIER LEAGUE,Wolves,Arsenal,1-2,0-1
PREMIER LEAGUE,Bournemouth,Forrest,2-0,5-0
PREMIER LEAGUE,Manchester City,Chelsea,3-2,3-1
LA LIGA,Villareal,Real Madrid,0-2,0-3
PREMIER LEAGUE,Tottenham,Leicester,3-1,1-2
SERIE A,Lecce,Inter Milan,0-2,0-4
PREMIER LEAGUE,Fulham,Manchester United,4-1,0-1
LA LIGA,Barcelona,Valencia,2-2,7-1
